	input	filtered	denoised	non-chimeric
C21R08.fastq	74394	60604	60503	38932
C21R12.fastq	78955	64812	64742	32672
C21R24.fastq	93395	77980	77841	41218
C21R33.fastq	72404	62514	62450	21444
C21R34.fastq	84449	73440	73395	21502
C21R44.fastq	87452	76704	76585	31874
C8R03.fastq	96441	80937	80848	47532
C8R16.fastq	78055	67079	66994	39532
C8R28.fastq	76491	63789	63742	13330
F0R04.fastq	95033	83027	82929	42532
F0R06.fastq	72383	59397	59311	40575
F0R07.fastq	91314	79871	79769	44950
F0R08.fastq	80006	69877	69740	48078
F0R09.fastq	74278	61746	61659	35221
F0R12.fastq	83657	69433	69369	30892
F0R14.fastq	99099	86326	86211	45137
F0R15.fastq	84784	73907	73815	32894
F0R24.fastq	82509	68896	68820	43698
F0R28.fastq	84135	69010	68934	35536
F0R30.fastq	76662	66994	66947	43745
F0R33.fastq	73916	66143	66078	40805
F0R35.fastq	88105	76853	76793	52669
F0R36.fastq	54979	45609	45599	31766
F0R38.fastq	73281	62628	62534	40434
F0R40.fastq	58060	45947	45916	17495
F0R42.fastq	48802	40629	40618	35048
F0R44.fastq	82563	73271	73177	45966
F0R45.fastq	70425	62398	62386	43060
F0R47.fastq	80152	65752	65721	29242
F12R09.fastq	78273	66805	66723	32233
F12R19.fastq	59762	48140	48096	18619
F12R33.fastq	89252	80234	80172	48650
F12R42.fastq	74248	66063	66041	42238
F16R08.fastq	51201	39325	39283	24526
F16R20.fastq	86119	74740	74710	22384
F16R21.fastq	67926	58684	58592	28790
F16R22.fastq	126986	110467	110351	47226
F16R33.fastq	86616	78558	78490	46752
F16R36.fastq	91493	82839	82795	43184
F20R20.fastq	95496	80901	80830	26971
F20R33.fastq	74544	63064	62987	32013
F20R36.fastq	84934	73423	73384	42221
F20R47.fastq	75369	67076	67008	40245
F20R48.fastq	66041	57797	57774	45826
F21R19.fastq	80242	68092	67987	36635
F21R23.fastq	75265	64399	64334	18239
F21R34.fastq	72775	63938	63868	20430
F21R42.fastq	73960	64674	64607	29477
F21R46.fastq	55498	46219	46197	33322
F8R09.fastq	49228	39128	39066	22895
F8R12.fastq	89393	75649	75576	35974
F8R17.fastq	76727	62499	62443	28769
F8R18.fastq	65532	54489	54369	36409
F8R22.fastq	86208	74719	74587	43812
F8R29.fastq	89408	78974	78935	39757
F8R34.fastq	88369	73140	73090	32996
F8R36.fastq	74708	66572	66537	29281
F8R40.fastq	79871	68113	68055	51852
F8R46.fastq	50927	42637	42618	23749
F8R48.fastq	82009	72063	72024	27789
Il21R10.fastq	57566	52282	52258	48637
Il21R20.fastq	65705	55396	55361	46527
Il21R22.fastq	49703	45149	45124	40100
Il21R24.fastq	68230	64401	64396	61601
Il21R32.fastq	70288	62599	62551	51077
Il21R44.fastq	72002	61561	61521	52704
Il21R48.fastq	62900	55474	55453	45884
Il8R14.fastq	72671	66161	66156	50149
Il8R15.fastq	35	29	29	15
Il8R29.fastq	93704	85189	85136	79120
Il8R37.fastq	59369	51848	51839	50005
Mock-01.fastq	71147	62144	62126	55187
Mock-02.fastq	76333	63738	63717	55685
Mock-03.fastq	62735	51998	51983	46288
WTRP-01.fastq	7920	5943	5913	4381
WTRP-02.fastq	2581	1930	1920	1321
WTRP-03.fastq	2790	2558	2553	2050
WTRX-1.fastq	4715	3732	3717	2568
WTRX-6.fastq	3599	2934	2922	2169
