	input	filtered	denoised	non-chimeric
C21R11.fastq	98310	86089	85921	60809
C21R19.fastq	92205	77778	77424	43229
C21R20.fastq	70753	57496	57302	35554
C21R22.fastq	103026	88858	88381	51137
C21R23.fastq	97295	85998	85726	46795
C21R32.fastq	75024	62027	61954	30271
C21R36.fastq	84375	74537	74425	33199
C21R45.fastq	93591	81206	81164	36907
C21R46.fastq	73707	67289	67266	56461
C21R48.fastq	70694	64585	64560	58701
C8R02.fastq	107401	95449	95223	55498
C8R05.fastq	83605	71459	71102	47826
C8R06.fastq	92705	79221	79034	43760
C8R42.fastq	93352	84311	84192	41358
F0R01.fastq	104718	95963	95815	70425
F0R05.fastq	118451	102424	102274	74356
F0R13.fastq	96460	86173	86029	61942
F0R17.fastq	94636	86258	86149	58088
F0R18.fastq	89484	81972	81884	61341
F0R19.fastq	86927	78141	77984	59142
F0R20.fastq	93391	84170	84025	56041
F0R25.fastq	76833	68758	68681	48708
F0R29.fastq	96635	88890	88860	66178
F0R34.fastq	80153	74731	74686	64093
F0R37.fastq	82258	74302	74252	57865
F0R39.fastq	91355	84228	84162	64128
F0R43.fastq	78977	69904	69858	48226
F0R48.fastq	83863	73723	73602	58026
F12R07.fastq	100297	85048	84887	62706
F12R23.fastq	106022	92379	92186	56674
F12R31.fastq	74962	68649	68620	54727
F12R45.fastq	92718	84209	84127	56624
F12R47.fastq	70483	61102	61083	36706
F16R19.fastq	88836	77747	77552	55689
F16R42.fastq	84266	76982	76754	56261
F16R45.fastq	102758	92462	92314	62840
F16R48.fastq	80893	74926	74896	65807
F20R09.fastq	99492	89246	89135	63837
F20R10.fastq	91886	85955	85863	69800
F20R19.fastq	95942	85442	85198	59754
F20R24.fastq	92445	81998	81805	59825
F20R32.fastq	91507	83684	83605	61680
F20R34.fastq	99393	89769	89571	55561
F20R45.fastq	130405	120741	120639	90223
F21R10.fastq	68773	54785	54710	33774
F21R20.fastq	102141	84814	84680	52538
F21R21.fastq	73342	61275	61115	40370
F21R24.fastq	92370	80825	80687	56724
F21R36.fastq	99950	90081	89752	57867
F8R02.fastq	83083	72248	72151	45696
F8R16.fastq	98871	88091	87877	59417
F8R20.fastq	101340	87997	87865	58985
F8R31.fastq	59018	50583	50562	45866
F8R35.fastq	67545	61405	61374	56408
F8R41.fastq	82668	74568	74404	41652
F8R42.fastq	91290	83118	82985	53704
F8R43.fastq	85658	76228	76128	50326
F8R44.fastq	94228	86245	86115	55398
F8R47.fastq	85089	77466	77393	52889
Il21R09.fastq	102759	93314	93308	89340
Il21R21.fastq	74741	71504	71503	69653
Il21R31.fastq	97652	81251	81240	76406
Il21R33.fastq	97944	86478	86455	75321
Il21R36.fastq	89375	82789	82788	78244
Il21R43.fastq	104918	94287	94284	38575
Il21R45.fastq	102443	94190	94164	82932
Il8R03.fastq	102331	90771	90728	83321
Il8R04.fastq	1646	1493	1493	1278
Il8R18.fastq	59080	57350	57345	54635
Il8R28.fastq	101573	94846	94841	89032
Il8R30.fastq	95883	86064	86053	83398
Mock-04.fastq	54258	47800	47749	44101
Mock-05.fastq	54341	41503	41465	37824
Mock-06.fastq	66744	58728	58674	54118
WTRP-04.fastq	11195	9520	9520	8247
WTRP-05.fastq	5026	3836	3835	2960
WTRP-06.fastq	8327	6819	6813	5711
WTRX-4.fastq	3864	3288	3286	2791
WTRX-5.fastq	5872	4447	4446	3669
