	input	filtered	denoised	non-chimeric
C21R21.fastq	123510	110639	110493	76926
C21R47.fastq	114961	104381	104118	55712
C8R13.fastq	80433	69369	69253	44834
C8R17.fastq	116773	105660	105542	69154
C8R18.fastq	123798	115785	115694	88581
C8R26.fastq	95543	87421	87369	65124
C8R30.fastq	109313	103052	103014	75108
C8R40.fastq	92081	84670	84494	64808
F0R02.fastq	97181	88595	88447	61104
F0R03.fastq	102653	93523	93301	67544
F0R10.fastq	93646	87160	87093	67939
F0R22.fastq	88486	79049	78955	53029
F0R27.fastq	95931	88929	88873	72078
F0R31.fastq	69775	65666	65607	55422
F0R32.fastq	98502	89744	89696	76076
F0R46.fastq	86533	80502	80455	72340
F12R12.fastq	95067	84902	84822	63261
F12R24.fastq	120563	108030	107829	79940
F12R34.fastq	87322	79498	79450	52610
F12R35.fastq	70544	64950	64922	54155
F12R36.fastq	92871	84362	84293	59090
F12R41.fastq	195799	181094	180908	110284
F12R46.fastq	87950	79652	79622	61581
F12R48.fastq	72450	66279	66250	59621
F16R09.fastq	96348	85670	85540	60987
F16R10.fastq	111405	101090	100962	73380
F16R24.fastq	99244	89959	89792	63052
F16R35.fastq	89685	83602	83571	73179
F16R41.fastq	87760	80655	80596	64207
F16R46.fastq	82561	76291	76263	59460
F20R07.fastq	100614	92111	91976	70442
F20R08.fastq	109096	98620	98517	76972
F20R21.fastq	102063	93941	93799	68971
F20R22.fastq	111415	102052	101914	69231
F20R23.fastq	126107	118074	117674	58367
F20R31.fastq	71650	67008	66989	60613
F20R41.fastq	115677	106500	106330	81169
F20R42.fastq	101386	93813	93621	51031
F20R46.fastq	86079	80470	80429	62354
F21R07.fastq	103973	94867	94732	74157
F21R08.fastq	97947	87808	87723	68919
F21R11.fastq	97259	87272	87073	55918
F21R32.fastq	105743	98039	97935	74459
F21R33.fastq	104753	95805	95598	63786
F21R41.fastq	112785	103793	103703	85257
F21R48.fastq	85122	79815	79781	62038
F8R01.fastq	145821	130958	130814	105848
F8R03.fastq	101518	91350	91253	66974
F8R05.fastq	124559	112747	112666	60038
F8R08.fastq	105661	97646	97551	79099
F8R15.fastq	90969	81560	81399	55155
F8R21.fastq	136378	126909	126774	66215
F8R25.fastq	85660	79378	79297	63628
F8R28.fastq	94093	84533	84364	53968
F8R30.fastq	97680	90896	90828	63037
F8R33.fastq	125987	117637	117508	82616
F8R37.fastq	97186	88185	88094	59188
Il21R12.fastq	1493	1351	1351	1249
Il21R19.fastq	87469	82450	82440	75897
Il21R23.fastq	110863	104199	104145	97642
Il21R34.fastq	135235	119239	119100	104146
Il21R46.fastq	94450	89302	89293	87653
Il21R47.fastq	65528	59930	59911	54102
Il8R01.fastq	93095	86238	86221	81137
Il8R02.fastq	103576	97446	97396	89239
Il8R06.fastq	69006	63614	63603	62054
Il8R17.fastq	113398	107135	107075	99750
Il8R27.fastq	123127	114430	114412	103020
Il8R39.fastq	102847	93968	93952	88691
Il8R40.fastq	120483	113563	113517	103192
Mock-10.fastq	71682	64943	64895	60502
Mock-11.fastq	97790	89158	89065	81028
Mock-12.fastq	86544	76393	76346	69796
WTRP-10.fastq	6816	6008	5957	4771
WTRP-11.fastq	772	664	662	520
WTRP-12.fastq	2390	1609	1605	1372
WTRX-7.fastq	1187	1044	1041	873
