"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","t-test - ALR (tta)",0.94,0.08,0.09,0.43,0.1,-0.09,0.31,"*"
"2","t-test - Rank (ttr)",0.85,0.09,0.13,0.4,0,-0.23,0.26,"*"
"3","Log t-test (ltt)",0.82,0.1,0.26,0.43,-0.12,-0.53,0.13," "
"4","t-test - CLR (ttc)",0.87,0.13,0.38,0.6,-0.15,-0.34,0.12," "
"5","Negbinom GLM (neb)",0.75,0.53,0.79,0.8,-0.59,-0.93,-0.24," "
"6","Quasi-Poisson GLM (qpo)",0.7,0.33,0.7,0.5,-0.6,-0.93,-0.14," "
"7","Log t-test2 (ltt2)",0.7,0.3,0.68,0.4,-0.61,-0.93,0," "
"8","Permutation (per)",0.69,0.34,0.74,0.53,-0.64,-0.91,-0.13," "
"9","Poisson GLM (poi)",0.7,0.9,0.85,1,-0.65,-0.84,-0.48," "
"10","Wilcox (wil)",0.64,0.28,0.74,0.37,-0.69,-0.96,-0.2," "
"11","t-test (ttt)",0.66,0.26,0.74,0.27,-0.7,-0.91,0," "
