"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","t-test - ALR (tta)",0.71,0.26,0.33,0.53,-0.22,-1,0.3,"*"
"2","t-test - CLR (ttc)",0.73,0.45,0.55,0.77,-0.37,-0.46,-0.21,"*"
"3","t-test - Rank (ttr)",0.71,0.36,0.52,0.67,-0.38,-0.49,-0.1,"*"
"4","Log t-test (ltt)",0.7,0.38,0.52,0.67,-0.39,-0.53,-0.18,"*"
"5","Poisson GLM (poi)",0.57,0.97,0.66,1,-0.59,-0.77,-0.48,"*"
"6","Log t-test2 (ltt2)",0.49,0.62,0.67,0.6,-0.67,-0.96,-0.2,"*"
"7","Wilcox (wil)",0.49,0.59,0.67,0.57,-0.68,-0.98,-0.3,"*"
"8","Negbinom GLM (neb)",0.49,0.79,0.68,0.77,-0.69,-0.98,-0.24,"*"
"9","t-test (ttt)",0.48,0.55,0.69,0.5,-0.7,-0.96,-0.23,"*"
"10","Quasi-Poisson GLM (qpo)",0.45,0.66,0.68,0.6,-0.71,-0.93,-0.22,"*"
"11","Permutation (per)",0.45,0.62,0.69,0.63,-0.72,-0.97,-0.37,"*"
