"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","t-test - CLR (ttc)",0.71,0.33,0.5,0.6,-0.38,-0.6,-0.22,"*"
"2","t-test - Rank (ttr)",0.69,0.27,0.47,0.43,-0.38,-0.52,0.05,"*"
"3","Log t-test (ltt)",0.67,0.27,0.49,0.4,-0.42,-0.65,-0.21,"*"
"4","Poisson GLM (poi)",0.57,0.91,0.68,0.93,-0.61,-0.82,-0.49," "
"5","t-test (ttt)",0.51,0.32,0.62,0.13,-0.62,-1,-0.21," "
"6","t-test - ALR (tta)",0.44,0.29,0.64,0.07,-0.65,-1,0.19," "
"7","Log t-test2 (ltt2)",0.48,0.39,0.67,0.27,-0.67,-0.99,-0.35," "
"8","Permutation (per)",0.46,0.42,0.68,0.37,-0.69,-0.98,-0.24," "
"9","Wilcox (wil)",0.48,0.39,0.71,0.27,-0.71,-1,-0.36," "
"10","Negbinom GLM (neb)",0.47,0.61,0.71,0.53,-0.72,-0.98,-0.36," "
"11","Quasi-Poisson GLM (qpo)",0.48,0.41,0.72,0.27,-0.73,-1,-0.44," "
