"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","t-test - CLR (ttc)",0.87,0.07,0,0.4,0.15,-0.69,0.23,"*"
"2","Log t-test (ltt)",0.83,0.05,0,0.37,0.12,-0.73,0.16,"*"
"3","Wilcox (wil)",0.74,0.09,0,0.33,0.08,-1,0.2,"*"
"4","t-test (ttt)",0.8,0.09,0,0.2,0.06,-1,0.12,"*"
"5","Log t-test2 (ltt2)",0.82,0.11,0.07,0.4,0.06,-1,0.19,"*"
"6","t-test - Rank (ttr)",0.8,0.07,0.06,0.33,0.04,-0.74,0.12,"*"
"7","t-test - ALR (tta)",0.81,0.01,0,0,0,-1,0.05,"*"
"8","Quasi-Poisson GLM (qpo)",0.79,0.11,0.1,0.33,0,-0.97,0.16,"*"
"9","Permutation (per)",0.76,0.13,0.33,0.4,-0.23,-0.92,0.21,"*"
"10","Negbinom GLM (neb)",0.8,0.31,0.7,0.8,-0.46,-0.9,-0.17,"*"
"11","Poisson GLM (poi)",0.78,0.82,0.86,1,-0.58,-0.73,-0.44,"*"
