"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","Log t-test (ltt)",0.79,0.07,0,0.27,0.08,-0.44,0.11,"*"
"2","t-test - ALR (tta)",0.9,0.02,0,0.13,0.05,-1,0.23,"*"
"3","t-test (ttt)",0.65,0.18,0.12,0.13,-0.1,-0.88,0.04,"*"
"4","t-test - Rank (ttr)",0.77,0.09,0.2,0.27,-0.13,-0.48,0.09,"*"
"5","t-test - CLR (ttc)",0.81,0.12,0.3,0.33,-0.19,-0.55,0.21,"*"
"6","Quasi-Poisson GLM (qpo)",0.67,0.18,0.6,0.23,-0.56,-0.84,0.11," "
"7","Poisson GLM (poi)",0.72,0.86,0.84,1,-0.62,-0.72,-0.53," "
"8","Negbinom GLM (neb)",0.69,0.39,0.77,0.73,-0.62,-0.85,-0.21," "
"9","Log t-test2 (ltt2)",0.65,0.22,0.68,0.2,-0.65,-0.88,0.11," "
"10","Permutation (per)",0.64,0.24,0.73,0.37,-0.68,-0.91,0.1," "
"11","Wilcox (wil)",0.6,0.23,0.75,0.27,-0.72,-0.88,0.03," "
