"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","Log t-test (ltt)",0.77,0.06,0,0.27,0.07,-0.68,0.12,"*"
"2","t-test - Rank (ttr)",0.78,0.09,0,0.2,0.06,-0.65,0.12,"*"
"3","Quasi-Poisson GLM (qpo)",0.67,0.17,0,0.07,0.01,-0.89,0.02,"*"
"4","t-test (ttt)",0.67,0.12,0,0,0,-1,0.04,"*"
"5","t-test - ALR (tta)",0.86,0.01,0,0,0,0,0.11,"*"
"6","t-test - CLR (ttc)",0.81,0.11,0.33,0.37,-0.22,-0.5,0.14,"*"
"7","Log t-test2 (ltt2)",0.69,0.14,0.33,0.13,-0.31,-0.98,0.06,"*"
"8","Wilcox (wil)",0.68,0.13,0.38,0.13,-0.36,-1,0.07,"*"
"9","Permutation (per)",0.67,0.17,0.5,0.27,-0.46,-1,0.1,"*"
"10","Negbinom GLM (neb)",0.7,0.37,0.76,0.67,-0.63,-0.92,-0.31,"*"
"11","Poisson GLM (poi)",0.69,0.87,0.85,1,-0.66,-0.77,-0.55,"*"
