"Df" "SumOfSqs" "R2" "F" "Pr(>F)"
"day" 1 1027.47332284786 0.0323807911325993 1.81527545642099 0.011
"feed" 1 4765.99611374102 0.150200225413228 8.42026316234869 0.001
"PFOS" 1 720.946496849656 0.0227206073512086 1.27372307584248 0.125
"day:feed" 1 866.03097564883 0.0272929403744707 1.53004923790943 0.046
"day:PFOS" 1 733.379732067599 0.0231124403883709 1.29568933640921 0.121
"feed:PFOS" 1 864.99481458293 0.0272602857893748 1.5282186134932 0.038
"day:feed:PFOS" 1 677.541366815009 0.0213526959724104 1.19703761308392 0.187
"Residual" 39 22074.5889828048 0.695680013578337 NA NA
"Total" 46 31730.9518053577 1 NA NA
