"Df" "SumOfSqs" "R2" "F" "Pr(>F)"
"day" 1 0.4083133943781 0.0342393030807048 2.32022424221792 0.024
"feed" 1 3.0896505324712 0.259084033125747 17.556813379438 0.001
"PFOS" 1 0.312932772786616 0.0262411182166718 1.77822774271184 0.088
"day:feed" 1 0.295537694635121 0.0247824461252291 1.67938091922263 0.096
"day:PFOS" 1 0.271082926827416 0.022731780586785 1.54041769664289 0.12
"feed:PFOS" 1 0.424464340055708 0.035593647884744 2.41200133356954 0.018
"day:feed:PFOS" 1 0.260076204740195 0.0218088069624604 1.4778724464362 0.158
"Residual" 39 6.86322558440466 0.575518864017658 NA NA
"Total" 46 11.925283450299 1 NA NA
