"Df" "SumOfSqs" "R2" "F" "Pr(>F)"
"day" 1 0.247659210405527 0.0308542621253477 1.67968567547021 0.033
"feed" 1 1.03963453057179 0.129521354236333 7.05105707906538 0.001
"PFOS" 1 0.19209374329399 0.0239317193110931 1.30282701148096 0.142
"day:feed" 1 0.162354023177879 0.0202266395828065 1.10112491532338 0.29
"day:PFOS" 1 0.223147172507672 0.0278004655744806 1.51343900583821 0.08
"feed:PFOS" 1 0.212384212830084 0.0264595779144049 1.44044196621062 0.103
"day:feed:PFOS" 1 0.199161849202393 0.0248122889942092 1.35076464411578 0.145
"Residual" 39 5.75030754079135 0.716393692261325 NA NA
"Total" 46 8.02674228278069 1 NA NA
