Phylum	Class	Order	Family	Genus	Species	OTU	contaminant	Control	Mock	Sample
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Genus_Anaerotruncus	ASV_0154	FALSE	0.0203095377239567	0	0.0498994331069187
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Genus_Anaerotruncus	ASV_0156	FALSE	0.00149013530428563	0	0.0468536213131767
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Genus_Anaerotruncus	ASV_0242	FALSE	0.00598656129651157	0.00032687246106841	0.0184007014442253
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Genus_Anaerotruncus	ASV_0428	FALSE	0.000964301556382712	0	0.00298119668449547
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Genus_Bacteroides	ASV_0022	FALSE	0.16710580949476	0.00537205017479187	1.06338856603411
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Genus_Bacteroides	ASV_0060	FALSE	0.0736894857368414	0.000101994190410914	0.339220199250491
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Genus_Bacteroides	ASV_0147	FALSE	0.00857238363942572	0.00051593554007409	0.0547229989907827
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Genus_Bacteroides	ASV_0182	FALSE	0.0128911514243367	0.000189063079005679	0.0363647062551707
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Genus_Bacteroides	ASV_0212	FALSE	0.00783400093131144	0	0.0229344529952319
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Genus_Bacteroides	ASV_0305	FALSE	0	0	0.00929422127457289
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Genus_Bacteroides	ASV_0343	FALSE	0.0025499796001632	0	0.00685928559608639
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Genus_Bacteroides	ASV_0519	FALSE	0	0	0.00140106124367541
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Genus_Bacteroides	ASV_0631	FALSE	0	0	0.000692926492912948
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Genus_Bacteroides	ASV_0651	FALSE	0.00125672347056754	0	0.000788279417412996
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Genus_Bacteroides	ASV_0693	FALSE	0	0	0.000340287227992187
Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Genus_Barnesiella	ASV_0025	FALSE	0.176294244139072	0.00337925407614454	0.933654462050841
Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Genus_Barnesiella	ASV_0088	FALSE	0.00848203258259888	0.00113668901451311	0.16435675358679
Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Genus_Barnesiella	ASV_0311	FALSE	0	0	0.00954811737040624
Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Genus_Barnesiella	ASV_0509	FALSE	0	0	0.00173315380553125
Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Genus_Barnesiella	ASV_0556	FALSE	0	0	0.00103431004794571
Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Genus_Barnesiella	ASV_0639	FALSE	0	0	0.000491272172518359
Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Genus_Barnesiella	ASV_0767	FALSE	0	0	0.000153234104622562
Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Genus_Barnesiella	ASV_0768	FALSE	0	0	0.00015356500783278
Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Beduinibacterium	Genus_Beduinibacterium	ASV_0485	FALSE	0	0	0.00219483012029231
Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Beduinibacterium	Genus_Beduinibacterium	ASV_0605	FALSE	0	0	0.000721435593077647
Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Beduinibacterium	Genus_Beduinibacterium	ASV_0736	FALSE	0	0	0.000196903481720415
Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Genus_Bifidobacterium	ASV_0347	FALSE	0	0.000201251786109602	0.00586328268958178
Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Genus_Bifidobacterium	ASV_0407	FALSE	0	0.000201251786109602	0.00322604003684622
Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Genus_Bifidobacterium	ASV_0479	FALSE	0	0	0.00164536432379322
Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Genus_Bifidobacterium	ASV_0594	FALSE	0	0	0.000752385243165375
Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Genus_Bifidobacterium	ASV_0716	FALSE	0	0	0.000233696880965713
Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	Genus_Bilophila	ASV_0498	FALSE	0	0	0.00147390688940989
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Genus_Blautia	ASV_0007	FALSE	0.58210731511226	0.0195276358942584	2.96037622842805
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Genus_Blautia	ASV_0020	FALSE	0.0945254203554496	0.000734130269625547	1.19146491450496
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Genus_Blautia	ASV_0235	FALSE	0	0	0.0332499284925825
