"Df" "SumOfSqs" "R2" "F" "Pr(>F)"
"day" 1 0.0698393340712838 0.0344559126814685 2.70355991471539 0.063
"feed" 1 0.766516659378316 0.378168426655857 29.6727301572146 0.001
"PFOS" 1 0.115737192612861 0.0571000662548806 4.48031812947203 0.015
"day:feed" 1 0.0347277156531088 0.0171332552648492 1.34434930140584 0.253
"day:PFOS" 1 0.0184883899224771 0.00912142644630036 0.715706564885327 0.518
"feed:PFOS" 1 0.0269978537745363 0.0133196529522032 1.04511757190703 0.347
"day:feed:PFOS" 1 0.0388142295309191 0.0191493765125364 1.50254289328201 0.204
"Residual" 37 0.955797334681789 0.471551883231905 NA NA
"Total" 44 2.02691870962529 1 NA NA
