"Df" "SumOfSqs" "R2" "F" "Pr(>F)"
"day" 1 0.234799948661072 0.022544727139633 1.01802627606718 0.363
"feed" 1 0.451945362650378 0.0433943232998011 1.95950747497363 0.014
"PFOS" 1 0.283027610274112 0.0271753902971365 1.22712779859869 0.149
"day:feed" 1 0.254511551272035 0.0244373710898688 1.10349021895041 0.281
"day:PFOS" 1 0.217608286313119 0.0208940396547274 0.943488082599539 0.485
"feed:PFOS" 1 0.210005215654915 0.020164017547014 0.910523315132659 0.557
"day:feed:PFOS" 1 0.229185824200474 0.0220056771746995 0.993685017687048 0.411
"Residual" 37 8.53376607725828 0.81938445379712 NA NA
"Total" 44 10.4148498762844 1 NA NA
