"Df" "SumOfSqs" "R2" "F" "Pr(>F)"
"day" 1 0.13207132388385 0.0246893674701449 1.11176107362933 0.262
"feed" 1 0.253641445810673 0.0474156438894024 2.13512424816279 0.027
"PFOS" 1 0.158272714995545 0.0295874464350725 1.33232134255294 0.143
"day:feed" 1 0.0995756726689536 0.0186146417050589 0.838216453793991 0.548
"day:PFOS" 1 0.0960978599545059 0.0179645006027039 0.808940630067893 0.636
"feed:PFOS" 1 0.115948815646555 0.0216754313733047 0.976043670786782 0.36
"day:feed:PFOS" 1 0.0983081106010336 0.0183776840918104 0.827546263444708 0.59
"Residual" 37 4.39540392231047 0.821675284432502 NA NA
"Total" 44 5.34931986587159 1 NA NA
