"Df" "SumOfSqs" "R2" "F" "Pr(>F)"
"day" 1 313.893981485309 0.0277591486321328 1.36840214791974 0.089
"feed" 1 968.954012238748 0.0856892455094609 4.22409740164136 0.001
"PFOS" 1 331.461414793171 0.0293127209241866 1.44498632885295 0.05
"day:feed" 1 346.425648317301 0.0306360797875731 1.51022201511714 0.037
"day:PFOS" 1 221.587483515071 0.0195960427810974 0.965997458630295 0.508
"feed:PFOS" 1 238.149451297561 0.0210606969396107 1.03819837239136 0.355
"day:feed:PFOS" 1 399.967289302957 0.0353710236150917 1.74363361536901 0.006
"Residual" 37 8487.32759782076 0.750575041810847 NA NA
"Total" 44 11307.7668787709 1 NA NA
