"Df" "SumOfSqs" "R2" "F" "Pr(>F)"
"day" 1 0.271492651695635 0.0374789684621897 2.85509552408006 0.055
"feed" 1 2.66029622932742 0.367248092559139 27.9764472800348 0.001
"PFOS" 1 0.413785642787266 0.0571222055524245 4.35148991794797 0.015
"day:feed" 1 0.111432381859486 0.0153829972903296 1.17185527010606 0.279
"day:PFOS" 1 0.0650183494279655 0.00897564133855903 0.683751833706969 0.509
"feed:PFOS" 1 0.0667561635098068 0.00921554278251966 0.702027190980031 0.516
"day:feed:PFOS" 1 0.13673431196111 0.0188758735593138 1.43793771076349 0.221
"Residual" 37 3.5183509721536 0.485700678455525 NA NA
"Total" 44 7.24386670272229 1 NA NA
