"Df" "SumOfSqs" "R2" "F" "Pr(>F)"
"day" 4 0.980695294266549 0.0549718916176445 3.25162710815137 0.002
"feed" 1 4.36003910199909 0.244397621121492 57.8251834980536 0.001
"PFOS" 1 0.176737902697395 0.00990686596398651 2.34399311920211 0.073
"day:feed" 4 0.624251771961175 0.0349918072932501 2.06979068410701 0.018
"day:PFOS" 3 0.182078221222099 0.0102062121654621 0.804939765206818 0.581
"feed:PFOS" 1 0.102904968555475 0.0057682348548225 1.36478103759516 0.234
"day:feed:PFOS" 3 0.103181007137159 0.00578370792080266 0.456147336575077 0.943
"Residual" 150 11.3100525711583 0.633973659062539 NA NA
"Total" 167 17.8399408389973 1 NA NA
