"Df" "SumOfSqs" "R2" "F" "Pr(>F)"
"day" 4 4988.64865718647 0.0441334850673544 2.23787048980336 0.001
"feed" 1 15962.1660841664 0.141213796947468 28.6420334546009 0.001
"PFOS" 1 1093.49227992939 0.00967388736386759 1.96212984496841 0.009
"day:feed" 4 3445.66870864412 0.0304830784747549 1.54570122103215 0.002
"day:PFOS" 3 1389.08138541922 0.0122888996186222 0.830842031976394 0.896
"feed:PFOS" 1 1098.09662431088 0.00971462099294622 1.97039174282837 0.006
"day:feed:PFOS" 3 1463.50842544668 0.0129473393856577 0.875358583576245 0.779
"Residual" 150 83594.7949163629 0.739544892149328 NA NA
"Total" 167 113035.457081466 1 NA NA
