"Df" "SumOfSqs" "R2" "F" "Pr(>F)"
"day" 4 0.575641880475332 0.05331981905754 2.77783149457875 0.001
"feed" 1 1.70921511330692 0.158318989050421 32.9921205096015 0.001
"PFOS" 1 0.0749140039634355 0.00693903843985061 1.44602737676274 0.139
"day:feed" 4 0.301708650460927 0.0279462825696203 1.45593262037356 0.025
"day:PFOS" 3 0.109144136473106 0.0101096633259763 0.702251475039179 0.919
"feed:PFOS" 1 0.119951679593535 0.0111107305922461 2.3153669995477 0.013
"day:feed:PFOS" 3 0.134430317059385 0.0124518392851045 0.864946954509092 0.673
"Residual" 150 7.77101511015103 0.719803637679241 NA NA
"Total" 167 10.7960208914837 1 NA NA
