"Df" "SumOfSqs" "R2" "F" "Pr(>F)"
"day" 4 1.36607115643038 0.0445334116746263 2.18045108444598 0.001
"feed" 1 3.68095122781016 0.119997641126277 23.5013646505622 0.001
"PFOS" 1 0.310865950400889 0.0101341143758585 1.98475165946743 0.014
"day:feed" 4 0.839865761024355 0.0273793114736824 1.34054964911188 0.042
"day:PFOS" 3 0.318938599546394 0.0103972797358834 0.678764071675264 0.981
"feed:PFOS" 1 0.299025380318342 0.00974811619452935 1.90915447331672 0.024
"day:feed:PFOS" 3 0.365409417663677 0.011912211124583 0.777663112945993 0.909
"Residual" 150 23.4940690628497 0.76589791429456 NA NA
"Total" 167 30.6751965560439 1 NA NA
