"Df" "SumOfSqs" "R2" "F" "Pr(>F)"
"day" 4 1.84366118356684 0.0457242370337837 3.05003605422332 0.001
"feed" 1 12.8714551737032 0.319222139391963 85.1748742123271 0.001
"PFOS" 1 0.411423139506974 0.010203615132584 2.72252932420113 0.029
"day:feed" 4 1.48225172822741 0.0367610003233267 2.45214318814372 0.003
"day:PFOS" 3 0.379864043769718 0.00942092491437892 0.837897287945443 0.604
"feed:PFOS" 1 0.269363337476889 0.00668042111033458 1.78247044156126 0.099
"day:feed:PFOS" 3 0.395595019498064 0.00981106539647336 0.872596391784571 0.59
"Residual" 150 22.6676974155842 0.562176596697156 NA NA
"Total" 167 40.3213110413332 1 NA NA
