"","Feature","pval","pval.adj","log2FC","ordering","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"3","ASV_0003",1.78715983191288e-05,0.00107461485276057,-6.32718339184305,"HF_PFOS>LF_PFOS","t-test - CLR (ttc)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Genus_Prevotella"
"4","ASV_0005",0.000165750129981459,0.00286510938967951,-5.2235558010549,"HF_PFOS>LF_PFOS","t-test - CLR (ttc)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","intestinalis"
"10","ASV_0012",0.00138459983963685,0.0108821301110813,2.41078607561176,"LF_PFOS>HF_PFOS","t-test - CLR (ttc)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella","albertii/boydii/coli/coli,/dysenteriae/fergusonii/flexneri/sonnei/vulneris"
"11","ASV_0013",0.00142804314147374,0.0108821301110813,-3.19929588916914,"HF_PFOS>LF_PFOS","t-test - CLR (ttc)","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","animalis"
"16","ASV_0021",0.00635060924410836,0.0277768097659257,-3.7116511068687,"HF_PFOS>LF_PFOS","t-test - CLR (ttc)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","acidophilus/gasseri/johnsonii/taiwanensis"
"21","ASV_0029",0.000539067111329645,0.0059836711470598,2.57550040946002,"LF_PFOS>HF_PFOS","t-test - CLR (ttc)","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","Genus_Rothia"
"24","ASV_0034",0.0132819191707386,0.0446420061016493,-3.84769226305463,"HF_PFOS>LF_PFOS","t-test - CLR (ttc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","faecis/hominis"
"25","ASV_0036",0.00109198869454891,0.0101638947723398,1.60529861028038,"LF_PFOS>HF_PFOS","t-test - CLR (ttc)","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","argenteus/aureus/equorum/haemolyticus/lugdunensis/simiae"
"28","ASV_0043",0.000239261608119551,0.00338649226438315,2.38969334955124,"LF_PFOS>HF_PFOS","t-test - CLR (ttc)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","goldsteinii"
"29","ASV_0044",5.81217819051208e-05,0.0017581839026299,5.29931833685119,"LF_PFOS>HF_PFOS","t-test - CLR (ttc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio","Genus_Butyrivibrio"
"31","ASV_0046",0.00374833427243305,0.0238709708928631,3.16877887059307,"LF_PFOS>HF_PFOS","t-test - CLR (ttc)","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila","wadsworthia"
"35","ASV_0054",0.0141376381325658,0.0462338976767692,0.838507949772549,"LF_PFOS>HF_PFOS","t-test - CLR (ttc)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas","virosa"
"36","ASV_0058",0.00143895935353141,0.0108821301110813,-4.08564620953602,"HF_PFOS>LF_PFOS","t-test - CLR (ttc)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes","hadrus"
