"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","t-test - ALR (tta)",0.4,0.07,0,0,0,-1,0.06,"*"
"2","t-test (ttt)",0.36,0.22,0,0,0,-1,0.02,"*"
"3","Log t-test (ltt)",0.62,0.15,0.14,0.23,-0.12,-0.67,0.06,"*"
"4","t-test - Rank (ttr)",0.63,0.19,0.35,0.2,-0.33,-0.81,0.03,"*"
"5","t-test - CLR (ttc)",0.62,0.22,0.4,0.33,-0.36,-0.83,-0.05,"*"
"6","Quasi-Poisson GLM (qpo)",0.42,0.31,0.41,0,-0.41,-1,0,"*"
"7","Poisson GLM (poi)",0.55,0.89,0.65,0.93,-0.61,-0.84,-0.47,"*"
"8","Permutation (per)",0.4,0.37,0.73,0.1,-0.74,-1,0,"*"
"9","Negbinom GLM (neb)",0.41,0.59,0.73,0.47,-0.77,-0.93,-0.36,"*"
"10","Wilcox (wil)",0.33,0.3,0.8,0.07,-0.81,-1,0.02,"*"
"11","Log t-test2 (ltt2)",0.35,0.3,0.9,0,-0.9,-1,0,"*"
