"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","t-test - CLR (ttc)",0.75,0.06,0,0.13,0.03,-1,0.07,"*"
"2","t-test - Rank (ttr)",0.73,0.06,0,0.07,0.02,-1,0.06,"*"
"3","Log t-test2 (ltt2)",0.68,0.07,0,0.03,0.01,-1,0.04,"*"
"4","t-test - ALR (tta)",0.7,0.03,0,0,0,-1,0,"*"
"5","t-test (ttt)",0.67,0.04,0,0,0,-1,0,"*"
"6","Wilcox (wil)",0.67,0.09,0,0,0,-1,0,"*"
"7","Quasi-Poisson GLM (qpo)",0.7,0.08,0,0,0,-0.91,0.02,"*"
"8","Log t-test (ltt)",0.73,0.04,0,0,0,-0.58,0.05,"*"
"9","Permutation (per)",0.6,0.11,0.29,0.03,-0.29,-1,0,"*"
"10","Poisson GLM (poi)",0.73,0.83,0.86,1,-0.62,-0.82,-0.54,"*"
"11","Negbinom GLM (neb)",0.7,0.35,0.77,0.67,-0.64,-0.87,-0.37,"*"
