"","Method","AUC","FPR","FDR","Power","Score","Score.5%","Score.95%"," "
"1","t-test - CLR (ttc)",0.84,0.06,0,0.33,0.11,-0.2,0.16,"*"
"2","Log t-test (ltt)",0.81,0.05,0,0.23,0.07,-0.49,0.13,"*"
"3","t-test - Rank (ttr)",0.82,0.06,0,0.2,0.06,-0.5,0.12,"*"
"4","Log t-test2 (ltt2)",0.72,0.1,0,0.13,0.03,-1,0.08,"*"
"5","t-test - ALR (tta)",0.84,0.03,0,0,0,-1,0.15,"*"
"6","Quasi-Poisson GLM (qpo)",0.7,0.11,0,0,0,-1,0.04,"*"
"7","t-test (ttt)",0.69,0.07,0,0,0,-1,0.02,"*"
"8","Wilcox (wil)",0.68,0.11,0.14,0.1,-0.12,-0.93,0.03,"*"
"9","Permutation (per)",0.66,0.15,0.35,0.13,-0.33,-0.89,0.19," "
"10","Poisson GLM (poi)",0.76,0.83,0.86,1,-0.59,-0.77,-0.5," "
"11","Negbinom GLM (neb)",0.73,0.37,0.77,0.67,-0.62,-0.81,-0.37," "
