	input	filtered	denoised	non-chimeric
fibrex.c4.C21R21.fastq	123466	110612	110474	76924
fibrex.c4.C21R47.fastq	114769	104270	104017	55641
fibrex.c4.C8R13.fastq	78851	68197	68127	44242
fibrex.c4.C8R17.fastq	116876	105745	105661	69301
fibrex.c4.C8R18.fastq	123742	115737	115658	88548
fibrex.c4.C8R26.fastq	95515	87398	87339	65113
fibrex.c4.C8R30.fastq	109301	103044	103006	75105
fibrex.c4.C8R40.fastq	92069	84664	84485	64815
fibrex.c4.F0R02.fastq	97459	88797	88660	61318
fibrex.c4.F0R03.fastq	102629	93504	93320	67593
fibrex.c4.F0R10.fastq	93608	87133	87074	67953
fibrex.c4.F0R11.fastq	101063	92351	92245	76094
fibrex.c4.F0R22.fastq	86454	77661	77579	51926
fibrex.c4.F0R27.fastq	95930	88929	88878	72071
fibrex.c4.F0R31.fastq	69776	65667	65612	55424
fibrex.c4.F0R32.fastq	98474	89721	89669	76053
fibrex.c4.F0R46.fastq	86528	80498	80448	72336
fibrex.c4.F12R12.fastq	95002	84847	84787	63293
fibrex.c4.F12R24.fastq	120536	108005	107884	80087
fibrex.c4.F12R34.fastq	87312	79490	79445	52615
fibrex.c4.F12R35.fastq	70491	64912	64886	54120
fibrex.c4.F12R36.fastq	92821	84317	84251	59066
fibrex.c4.F12R41.fastq	193333	179361	179180	109165
fibrex.c4.F12R46.fastq	80526	74343	74314	57393
fibrex.c4.F12R48.fastq	72017	65984	65958	59386
fibrex.c4.F16R09.fastq	95526	85068	84945	60446
fibrex.c4.F16R10.fastq	111573	101189	101090	73530
fibrex.c4.F16R24.fastq	99301	90006	89852	63122
fibrex.c4.F16R35.fastq	89688	83604	83574	73178
fibrex.c4.F16R41.fastq	87757	80652	80592	64254
fibrex.c4.F16R46.fastq	82545	76278	76248	59452
fibrex.c4.F20R07.fastq	100617	92113	91975	70454
fibrex.c4.F20R08.fastq	109108	98633	98544	77019
fibrex.c4.F20R21.fastq	102158	93998	93863	69043
fibrex.c4.F20R22.fastq	111406	102046	101901	69276
fibrex.c4.F20R23.fastq	126105	118072	117668	58378
fibrex.c4.F20R31.fastq	71654	67012	66991	60616
fibrex.c4.F20R41.fastq	115657	106484	106330	81189
fibrex.c4.F20R42.fastq	101473	93890	93700	51085
fibrex.c4.F20R46.fastq	86070	80461	80417	62353
fibrex.c4.F21R07.fastq	103974	94868	94732	74181
fibrex.c4.F21R08.fastq	98288	88093	88030	69227
fibrex.c4.F21R11.fastq	97203	87218	87021	55924
fibrex.c4.F21R32.fastq	105743	98039	97927	74455
fibrex.c4.F21R33.fastq	104905	95948	95741	63895
fibrex.c4.F21R41.fastq	113089	104006	103915	85442
fibrex.c4.F21R48.fastq	85177	79855	79819	62078
fibrex.c4.F8R01.fastq	145821	130958	130832	105894
fibrex.c4.F8R03.fastq	100080	89937	89865	65612
fibrex.c4.F8R05.fastq	124419	112629	112555	60004
fibrex.c4.F8R08.fastq	105818	97782	97689	79232
fibrex.c4.F8R15.fastq	90775	81394	81277	55162
fibrex.c4.F8R21.fastq	136302	126839	126711	66180
fibrex.c4.F8R25.fastq	85374	79133	79043	63458
fibrex.c4.F8R28.fastq	94090	84531	84371	53947
fibrex.c4.F8R30.fastq	97318	90625	90557	62818
fibrex.c4.F8R33.fastq	125803	117498	117368	82509
fibrex.c4.F8R37.fastq	96596	87784	87695	58915
fibrex.c4.Il21R12.fastq	1493	1351	1351	1248
fibrex.c4.Il21R19.fastq	87527	82497	82490	75927
fibrex.c4.Il21R23.fastq	118101	109364	109304	101728
fibrex.c4.Il21R34.fastq	135107	119153	118989	103809
fibrex.c4.Il21R46.fastq	94444	89297	89288	87648
fibrex.c4.Il21R47.fastq	65474	59897	59881	54074
fibrex.c4.Il8R01.fastq	93080	86225	86209	81121
fibrex.c4.Il8R02.fastq	102505	96592	96543	88440
fibrex.c4.Il8R06.fastq	68989	63601	63589	62044
fibrex.c4.Il8R17.fastq	113395	107132	107071	99749
fibrex.c4.Il8R27.fastq	122986	114302	114283	102945
fibrex.c4.Il8R39.fastq	102117	93409	93393	88189
fibrex.c4.Il8R40.fastq	120475	113556	113508	103195
fibrex.c4.Mock-10.fastq	71646	64916	64867	60476
fibrex.c4.Mock-11.fastq	99362	90318	90225	81706
fibrex.c4.Mock-12.fastq	86485	76344	76297	69764
fibrex.c4.WTRP-10.fastq	8632	7289	7238	5526
fibrex.c4.WTRP-11.fastq	1001	815	813	649
fibrex.c4.WTRP-12.fastq	2501	1683	1679	1445
fibrex.c4.WTRX-7.fastq	1169	1031	1028	862
