	input	filtered	denoised	non-chimeric
fibrex.c3.C21R07.fastq	127618	114469	114274	79827
fibrex.c3.C21R09.fastq	71884	56998	56868	35848
fibrex.c3.C21R10.fastq	100756	77624	77382	40767
fibrex.c3.C21R31.fastq	85034	75939	75915	67719
fibrex.c3.C21R35.fastq	81021	71486	71457	43273
fibrex.c3.C21R43.fastq	103358	86619	86572	47775
fibrex.c3.C8R01.fastq	102641	85691	85483	59803
fibrex.c3.C8R14.fastq	99198	86294	86172	54767
fibrex.c3.C8R15.fastq	100376	87499	87362	64326
fibrex.c3.C8R25.fastq	81047	72598	72560	62538
fibrex.c3.C8R27.fastq	89280	80260	80231	53994
fibrex.c3.C8R29.fastq	87631	77473	77446	51000
fibrex.c3.C8R37.fastq	72112	54777	54765	32282
fibrex.c3.C8R38.fastq	91144	79094	79062	46375
fibrex.c3.C8R39.fastq	82964	67328	67216	30193
fibrex.c3.C8R41.fastq	97192	86467	86382	45619
fibrex.c3.F0R16.fastq	116179	106697	106608	84672
fibrex.c3.F0R21.fastq	75148	63819	63742	39706
fibrex.c3.F0R23.fastq	104700	92819	92597	59907
fibrex.c3.F0R26.fastq	78020	67386	67328	51382
fibrex.c3.F0R41.fastq	80475	69939	69916	62376
fibrex.c3.F12R08.fastq	129800	112424	112286	89696
fibrex.c3.F12R10.fastq	84745	68576	68441	49161
fibrex.c3.F12R11.fastq	47847	37181	37127	27177
fibrex.c3.F12R20.fastq	97965	82250	82137	61537
fibrex.c3.F12R21.fastq	97376	84608	84473	58523
fibrex.c3.F12R22.fastq	110282	99247	99091	71380
fibrex.c3.F12R32.fastq	94795	83433	83346	59499
fibrex.c3.F16R07.fastq	90975	77365	77254	55691
fibrex.c3.F16R11.fastq	83701	70717	70630	50984
fibrex.c3.F16R12.fastq	100577	85313	85184	65244
fibrex.c3.F16R23.fastq	117437	106235	105962	75280
fibrex.c3.F16R31.fastq	131312	112262	112207	88688
fibrex.c3.F16R32.fastq	47600	38941	38914	33132
fibrex.c3.F16R34.fastq	117515	107679	107565	68441
fibrex.c3.F16R47.fastq	96332	85941	85858	68546
fibrex.c3.F20R11.fastq	100792	90423	90326	66379
fibrex.c3.F20R12.fastq	83035	61983	61888	42507
fibrex.c3.F21R09.fastq	96087	83556	83436	61263
fibrex.c3.F21R12.fastq	97329	81773	81571	54529
fibrex.c3.F21R22.fastq	169189	151482	151208	106912
fibrex.c3.F21R31.fastq	78252	68554	68525	51276
fibrex.c3.F21R35.fastq	97503	88064	88035	63953
fibrex.c3.F21R45.fastq	104216	93228	93107	67204
fibrex.c3.F21R47.fastq	102825	90055	89939	64259
fibrex.c3.F8R04.fastq	41361	30129	30114	14577
fibrex.c3.F8R06.fastq	93946	78863	78804	56218
fibrex.c3.F8R07.fastq	88136	72832	72753	53589
fibrex.c3.F8R10.fastq	104487	91890	91751	63202
fibrex.c3.F8R11.fastq	111509	93491	93370	65209
fibrex.c3.F8R13.fastq	89772	80198	80061	47736
fibrex.c3.F8R14.fastq	93147	84087	83995	54531
fibrex.c3.F8R19.fastq	96819	82702	82611	54692
fibrex.c3.F8R23.fastq	102742	89704	89484	51778
fibrex.c3.F8R24.fastq	98218	86108	85989	59458
fibrex.c3.F8R26.fastq	70248	60976	60919	48080
fibrex.c3.F8R27.fastq	87638	79628	79591	53921
fibrex.c3.F8R32.fastq	101265	86449	86402	62389
fibrex.c3.F8R38.fastq	102729	92401	92247	60329
fibrex.c3.F8R45.fastq	90982	82027	81928	49662
fibrex.c3.Il21R07.fastq	96666	88459	88410	76803
fibrex.c3.Il21R08.fastq	98692	89427	89384	82797
fibrex.c3.Il21R11.fastq	78371	72013	71996	68932
fibrex.c3.Il21R35.fastq	77871	65998	65981	62286
fibrex.c3.Il8R05.fastq	55711	46237	46232	45070
fibrex.c3.Il8R13.fastq	97980	85021	84980	82536
fibrex.c3.Il8R16.fastq	47109	40667	40638	38173
fibrex.c3.Il8R25.fastq	72222	67038	67024	65002
fibrex.c3.Il8R26.fastq	103160	88952	88944	85437
fibrex.c3.Il8R38.fastq	83947	77972	77912	73378
fibrex.c3.Il8R41.fastq	82322	70738	70709	66146
fibrex.c3.Il8R42.fastq	83970	61160	61160	60275
fibrex.c3.Mock-07.fastq	123866	106159	106126	93308
fibrex.c3.Mock-08.fastq	81938	62005	61993	56783
fibrex.c3.Mock-09.fastq	110751	93506	93479	82817
fibrex.c3.WTRP-07.fastq	692	537	537	408
fibrex.c3.WTRP-08.fastq	3953	2626	2619	2090
fibrex.c3.WTRP-09.fastq	624	482	477	331
fibrex.c3.WTRX-2.fastq	2031	1694	1692	1288
fibrex.c3.WTRX-3.fastq	5239	4067	4065	2869
