	input	filtered	denoised	non-chimeric
fibrex.c1.C21R08.fastq	74393	60603	60503	38915
fibrex.c1.C21R12.fastq	78946	64804	64704	32660
fibrex.c1.C21R24.fastq	93384	77970	77741	41215
fibrex.c1.C21R33.fastq	72406	62516	62469	21430
fibrex.c1.C21R34.fastq	84623	73567	73536	21589
fibrex.c1.C21R44.fastq	87652	76831	76752	32002
fibrex.c1.C8R03.fastq	96307	80840	80616	47365
fibrex.c1.C8R16.fastq	78133	67129	66995	39549
fibrex.c1.C8R28.fastq	76541	63819	63759	13353
fibrex.c1.F0R04.fastq	95151	83119	82926	42759
fibrex.c1.F0R06.fastq	72381	59395	59311	40575
fibrex.c1.F0R07.fastq	91310	79869	79773	45221
fibrex.c1.F0R08.fastq	80056	69921	69789	48120
fibrex.c1.F0R09.fastq	74651	62006	61918	35400
fibrex.c1.F0R12.fastq	83762	69497	69361	31044
fibrex.c1.F0R14.fastq	107214	91156	90992	47835
fibrex.c1.F0R15.fastq	84775	73899	73769	33066
fibrex.c1.F0R24.fastq	82515	68900	68785	43767
fibrex.c1.F0R28.fastq	84509	69236	69139	35771
fibrex.c1.F0R30.fastq	76755	67057	67016	43782
fibrex.c1.F0R33.fastq	73915	66143	66081	40965
fibrex.c1.F0R35.fastq	88105	76853	76811	52658
fibrex.c1.F0R36.fastq	54905	45561	45550	31749
fibrex.c1.F0R38.fastq	73280	62628	62542	40365
fibrex.c1.F0R40.fastq	57203	45321	45289	16992
fibrex.c1.F0R42.fastq	48424	40401	40390	34875
fibrex.c1.F0R44.fastq	82847	73433	73349	46182
fibrex.c1.F0R45.fastq	70442	62410	62396	43062
fibrex.c1.F0R47.fastq	80152	65752	65716	29349
fibrex.c1.F12R09.fastq	78099	66678	66488	32001
fibrex.c1.F12R19.fastq	59761	48139	48087	18556
fibrex.c1.F12R33.fastq	89252	80234	80166	48662
fibrex.c1.F12R42.fastq	74245	66060	66028	42233
fibrex.c1.F16R08.fastq	51190	39316	39274	24517
fibrex.c1.F16R20.fastq	86112	74736	74709	22374
fibrex.c1.F16R21.fastq	67919	58682	58555	28744
fibrex.c1.F16R22.fastq	125366	109455	109268	46440
fibrex.c1.F16R33.fastq	86616	78558	78490	46765
fibrex.c1.F16R36.fastq	91504	82848	82790	43182
fibrex.c1.F20R20.fastq	95412	80839	80694	26894
fibrex.c1.F20R33.fastq	74544	63063	62985	31992
fibrex.c1.F20R36.fastq	84934	73423	73360	42208
fibrex.c1.F20R47.fastq	75362	67070	66995	40374
fibrex.c1.F20R48.fastq	66041	57797	57775	45812
fibrex.c1.F21R19.fastq	79620	67611	67420	36177
fibrex.c1.F21R23.fastq	75264	64398	64237	18224
fibrex.c1.F21R34.fastq	72941	64029	63960	20488
fibrex.c1.F21R42.fastq	72825	63861	63823	28791
fibrex.c1.F21R46.fastq	53605	45087	45070	32667
fibrex.c1.F8R09.fastq	49167	39088	38989	22825
fibrex.c1.F8R12.fastq	89385	75642	75482	35929
fibrex.c1.F8R17.fastq	76628	62426	62165	28723
fibrex.c1.F8R18.fastq	65535	54490	54222	36375
fibrex.c1.F8R22.fastq	86375	74814	74673	43784
fibrex.c1.F8R29.fastq	89418	78983	78920	39749
fibrex.c1.F8R34.fastq	90261	74272	74216	33608
fibrex.c1.F8R36.fastq	74708	66572	66537	29259
fibrex.c1.F8R39.fastq	91569	80002	79887	48568
fibrex.c1.F8R40.fastq	78409	66683	66638	50311
fibrex.c1.F8R46.fastq	50925	42635	42619	23732
fibrex.c1.F8R48.fastq	81635	71802	71756	27585
fibrex.c1.Il21R10.fastq	57354	52148	52144	48577
fibrex.c1.Il21R20.fastq	57576	50556	50540	43915
fibrex.c1.Il21R22.fastq	49704	45150	45133	40106
fibrex.c1.Il21R24.fastq	68230	64401	64397	61602
fibrex.c1.Il21R32.fastq	71199	63258	63219	51623
fibrex.c1.Il21R44.fastq	72102	61634	61609	52879
fibrex.c1.Il21R48.fastq	62572	55281	55270	45783
fibrex.c1.Il8R14.fastq	72387	65997	65992	50046
fibrex.c1.Il8R15.fastq	17	13	13	6
fibrex.c1.Il8R29.fastq	93703	85188	85178	79288
fibrex.c1.Il8R37.fastq	59452	51908	51902	50047
fibrex.c1.Mock-01.fastq	71148	62145	62127	55188
fibrex.c1.Mock-02.fastq	76296	63711	63690	55667
fibrex.c1.Mock-03.fastq	62735	51998	51983	46288
fibrex.c1.WTRP-01.fastq	7918	5943	5913	4379
fibrex.c1.WTRP-02.fastq	2472	1844	1834	1281
fibrex.c1.WTRP-03.fastq	2790	2558	2553	2050
fibrex.c1.WTRX-1.fastq	6102	4599	4582	3181
fibrex.c1.WTRX-6.fastq	3607	2945	2933	2167
