Kingdom,Phylum,Class,Order,Family,Genus,Species,Control,Mock,Sample,ASV,contam_phy,contam_harsh
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Genus_Salmonella,0.469642774259942,16.434291604307,0.00218841338040724,ASV_0028,FALSE,FALSE
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,Genus_Rothia,0.0609468724064408,0.00233034476199785,0.766296937444335,ASV_0029,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,inops,0.127876749063715,0.00350034208303054,0.757284288706038,ASV_0030,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.115638933541035,0.00280707613684715,0.647398352365843,ASV_0031,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,0.0958776788660565,0.00359080766314035,0.774134971783813,ASV_0032,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalicatena,Genus_Faecalicatena,0.147092168428395,0.00292142727099511,0.630129509057467,ASV_0033,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,faecis/hominis,0.0504282090693598,0.00136037136963759,0.610971418832197,ASV_0034,FALSE,FALSE
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,argenteus/aureus/equorum/haemolyticus/lugdunensis/simiae,0.256075041247966,12.7434173394308,0.0208616263887289,ASV_0036,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Genus_Phocaeicola,0.100467752721736,0.00207503668327651,0.658782306002064,ASV_0037,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.0964976513617442,0.00426918568378137,0.543190300484509,ASV_0038,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.383595347995296,0.00448774437808022,0.625867136394095,ASV_0039,FALSE,FALSE
Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,innocua/ivanovii/marthii/monocytogenes/seeligeri/welshimeri,0.245171486071396,11.7655916826599,0.00180557775381797,ASV_0040,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,distasonis,0.0956013874880027,0.00176394397176578,0.539960183833649,ASV_0041,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,finegoldii/onderdonkii,0.0605818359684387,0.00212900142103288,0.54424946540373,ASV_0042,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,goldsteinii,0.119218978790783,0.00167603623142491,0.52597197492434,ASV_0043,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,Genus_Butyrivibrio,0.0701258291224299,0.00318670466176638,0.493783926183298,ASV_0044,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,0.255350378313287,0.000509970952054571,0.43754637444936,ASV_0045,FALSE,FALSE
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,wadsworthia,0.108555738208954,0.00413389638626076,0.515197392633447,ASV_0046,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.688360968963498,0.00220276925607576,0.487644381574917,ASV_0047,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,0.056456883189286,0.00598001510161677,0.474741044649248,ASV_0048,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,distasonis,0.074689352418519,0.00103332652674609,0.480942309436711,ASV_0049,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,Genus_Oscillibacter,0.105651897214689,0.00112790068253958,0.591752698538315,ASV_0050,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,luti/obeum/wexlerae,0.0173254025898935,0.000203988380821828,0.384646852992159,ASV_0051,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum,Genus_Paramuribaculum,0.0902691225933609,0.00173686969922795,0.398758609796933,ASV_0052,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Order_Clostridiales,Order_Clostridiales,Order_Clostridiales,0.0323086585725015,0.00359219850110791,0.366109684818213,ASV_0053,FALSE,TRUE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,virosa,0.0868872925396544,0.00108376590429089,0.384618297361396,ASV_0054,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Genus_Phocaeicola,0.219129550956924,0.00083148447071678,0.308608954764994,ASV_0056,FALSE,FALSE
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Genus_Limosilactobacillus,0.12842602103658,6.75075174174964,0.00106051135382806,ASV_0057,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,hadrus,0.0543935350880658,0.000821704144625461,0.305891235520533,ASV_0058,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Genus_Bacteroides,0.0736894857368414,0.000101994190410914,0.339220199250491,ASV_0060,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Genus_Phocaeicola,0.079997957780501,0.000291057269416594,0.319912130990818,ASV_0061,FALSE,FALSE
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,Genus_Turicibacter,0.00801185030331184,0.000239013304367213,0.253642829882716,ASV_0062,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Order_Clostridiales,Order_Clostridiales,Order_Clostridiales,0.0307757729084589,0.000376244657180262,0.303455032321981,ASV_0063,FALSE,FALSE
